HOTEL_name,CITY_name,COUNTRY_name,PRICE_range,HOTEL_rating,amneties,HOTEL_address,HOTEL_review
Ornate Hospitality Service Apartment,Pune,India,,4.1/5,"Power backup,Parking Facility,Laundry Service,CCTV surveillance,","TCS company, Plot no 34, near gate no, Jay Ganesh Colony, Phase, Hinjewadi Rajiv Gandhi Infotech Park, Hinjawadi, Bhoirwadi, 411057, Pune View on Map","The hotel was almost brand new... Bed, linen, toiletries were very good. The staff was cordial and food was also quite good.
Despite being in a slightly remote location, I could book a cab at odd timings and also order food via third party apps."
Hotel City Palace,Bhopal,India,,2.1/5,"Smoking Rooms Available,","B-184,Indira Vihar colony,Airport Road , Bhopal - 462016 View on Map","worst experience ever. I wouldn't recommend it to anyone. non cooperative staff. I had to change the hotel at night ,even the owner refused to oblige. Would give zero stars to this hotel..."
Redbrick Villa,Gurgaon,India,,4.1/5,"Air Conditioning,Parking Facility,Banquet hall,Laundry Service,","575-P, Block, Opposite Sushant Tower, Adj. C-Dot apartment, Sushant Lok-2, Sector 56, Gurgaon - 122011 View on Map","Helpful & courteous staff.
Located Just 5 mins away from convenient store and Hong Kong market.
Clean, free breakfast, quality food in reasonable rates .
Worth the value . Had a Comfortable stay."
Aziz Palace Group of Houseboats,Srinagar,India,,4.6/5,"Power backup,Parking Facility,Business Services,Restaurant/Coffee Shop,","Ghat No, Golden Dal Lake, Srinagar, 190001 View on Map","This was my third stay in houseboat , I keep on doing experiment with my hotel stays , but I have to confess that it was worth to stay here , Aziz houseboat is well mentioned , clean and nice houseboat to stay , I haven’t tasted such tasty food in any other houseboat in kashmir , I wants to thanks cook and along with that the whole staff of Aziz houseboat they made my stay a wonderful and successful experience, I would pay my special regards to Mr. Aqueel Khar a houseboat management team head , he was always available to listen to our special needs .... best of luck and thanks again"
Coral River Resort,Pathankot,India,,3.2/5,"Air Conditioning,Parking Facility,Restaurant/Coffee Shop,CCTV surveillance,","G.T. Road, Madhopur, 145001, Pathankot View on Map",Location is good just adjoining the beautiful river. If a walking track & a park could be buld besides the river it would have been more attractive as other side is a highway & guests can not that side.
Hotel The Apple Blossom(Govt. Hotel),,,,3.7/5,"Doctor On Call,Free Internet,Air Conditioning,Parking Facility,","Fagu Bus Stop, National Highway 22, shimla pin code- 171002, Kufri View on Map","I had the best time in Hotel Apple Blossom. The rooms are very spacious and have a stunning view of the Valley.
The morning sun coming through huge windows just wakes you up from within.
The hotel is on the main road and walking distance from the bus stop.
Not to forget the lip smacking food. Specially the Rara chicken and cheeze omelette with coffee. The staff is very courteous and helpful.
Some people may have misconceptions about service quality as it is being managed by govt., but Apple  ...more"
Anushrey Holiday Homes,Malvan,India,,3/51 ,"Power backup,Business Services,Laundry Service,Dining,","Garde Road, Wairy, Malwan, Dist. Sindhudurga - 416606 View on Map",
Hotel The Pearl,Chandigarh,India,,3.9/5,"Doctor On Call,Air Conditioning,Indoor Entertainment,Parking Facility,","25/2, Industrial Area, Phase-II, Chandigarh - 160002 View on Map","Hi
stay at hotel was not good room was very bad and smelly ,washroom was not clean shower of room was not working as well... tea coffee maker was aslo not clean
this is the blower in washroom which was all broke as well as there were mice in this
unhygene washroom"
IPRASS Corporate Service Apartments-Kalyani Nagar,Pune,India,,2.9/5,"Power backup,Restaurant/Coffee Shop,Laundry Service,CCTV surveillance,",Communication add 12 1st Floor Nitron Homeland near HDFC Bank Kalyani Nagar Pune 411006 View on Map,Very good service even rooms are very clean good stay
Anandam Resort,Rishikesh,India,,3.6/5,"Air Conditioning,Conference Room,Laundry Service,Dining,","Anandam Resort Laxman Jhulla Road, Tapovan, Rishikesh - 249192 View on Map","Nice hotel near luxman jhula
Good food. Good staff.Clean rooms."
Swagath De Royal,Hyderabad,India,,3.9/5,"Air Conditioning,Parking Facility,Conference Room,Banquet hall,","Kothaguda X Roads, Kondapur,Cyberabad, Hyderabad - 500081 View on Map",nice stay at swagath de royal. spicy and higene food and supportive staff. morning buffet is just okey
Hotel Grand Suite,Mumbai,India,,3.6/5,"Power backup,Restaurant/Coffee Shop,Laundry Service,CCTV surveillance,","Opp. Seven Hills Hospital, Marol Maroshi Road, Marol Andheri (E), Mumbai - 400059 View on Map","the stay was awesome and very friendly staff , clean room and good bed , got a good time to stay and near by to metro.
quiet and clean"
Hotel Savoy,Almora,India,,3.7/5,"Power backup,Parking Facility,CCTV surveillance,Room Service,",near ncc office mall road Almora uttrakhand - 263601 View on Map,the hotel was good but there is no parking space even for bikes.
Hotel Aaram Orchard,Ahmedabad,India,,4.1/5,"Doctor On Call,Free Internet,Parking Facility,Conference Room,","Hotel Aaram Orchard,2nd Floor,Hitek Building, Near NID, Opp. Museum Paldi, Ahmedabad - 380007 View on Map","great room with cleanliness around. had couple of cockroaches but the staff helped change the room. a good and compact stay option for business travellers
easily accessible and evident hotel board to identify it. quick service"
Sangam Regency,Ratnagiri,India,,4.3/5,"Air Conditioning,Indoor Entertainment,Conference Room,CCTV surveillance,",1101 Near Ratnagiri Railway Station Kuwarbav Ratnagiri - 415639 View on Map,"we had a great time here. The rooms are spacious and well equipped with all the nececities. The staff is really courteous and friendly. We had complimentary breakfast and dinner in our package and it was up to the mark. The food quality was good. Food was made fresh to the order.
Rooms were clean and neat. Room service was good. The food was good."
Hotel Green Apple,Gandhinagar,India,,3.9/5,"Clean linen,Room Service,CCTV surveillance,Laundry Service,","3rd Floor, GH-4II, Near Nagarik Bank , Sector 16 ,Gandhinagar - 382016 View on Map",Location is OK and good for business purposes
Hotel Sai Yug,Shirdi,India,,3.9/5,"Power backup,Parking Facility,Laundry Service,CCTV surveillance,","Pimpalwadi Road, Shirdi - 423109 View on Map",Hotel is very nice. we experienced a pleasant stay here. Rooms are clean. Service is very good.
Hotel Manora Palace,Srinagar,India,,,"Dining,Power backup,Restaurant/Coffee Shop,",Dal Lake Srinagar - 190001 View on Map,
Hotel Indraprasth,Porbandar,India,,3.6/5,"Power backup,Laundry Service,Travel Assistance,Room Service,","Opp. Swaminarayan Temple, S.T.CrossRoad, Porbandar - 360575, INDIA View on Map","staff is courteous and are ready to help. location is good as well. but food unavailability is an issue, although staff were ready to serve the food from outside restaurants. Construction is old, but rooms are clean."
Hotel Ashoka Palace,Daman,India,,3.9/5,"Free Internet,Air Conditioning,Conference Room,Laundry Service,","Opp.Devka Beach Park, Daman - 396210 View on Map",Rooms are big but old..toilet is mot well maintained. no complimentary water bottles.all rooms are road facing but no view of sea from room..as there are big trees and park infront...tv is very small as comparedto room size.Restaurant is good with bar arrangement.good parking space...food is also good...overall for enjoyment with drinks at weekends.this location ..is good.
Hotel Shangrila Ladakh,Leh,India,,4.1/5,"Parking Facility,Conference Room,Travel Assistance,Laundry Service,","Hotel Shangri-la Leh ,Old Road Sheynam, Leh, Leh-194101 ,Jammu and Kashmir View on Map","Excellent location and view, near to Main Market.
Safty, very secure place"
Hotel Sai Bhagwan,Shirdi,India,,4/59 ,"Doctor On Call,Power backup,Parking Facility,Laundry Service,","Shirdi, tal Rahata, Dist A'Nagar, Shirdicity,Behind Nagar Palika Office, Sr. no. 3 Hedgeewar Nagar. Shirdi-423601 View on Map",good hotal in less payment. hotal is at walkable distance from temple.food is normal. staff is also cooperative.
Fantasy Resort,,,,2.1/5,"Air Conditioning,Business Services,Restaurant/Coffee Shop,Smoking Rooms Available,","Next to Lions Point, Jambhulne,Next to Happy Home Society,Sahara Amby Valley Road, Lonavala - 412108 View on Map",okok
Ivy Bank,Mussoorie,India,,3.2/5,"Power backup,Parking Facility,Daily housekeeping,Room Service,","Ivy Bank guest house,Landour Cantt Mussoorie - 248179 View on Map","Ivy bank was by far the worst experiences ever. We had booked for 4 nights but decided to check out in one day. Very below average accommodation, no amenities in the room (like hot kettle, water) very poor WiFi connection.
I would not recommend this place to anyone."
Ambady Estate,Munnar,India,,4.8/5,"Doctor On Call,Indoor Entertainment,Parking Facility,Outdoor Activities,","Munnar, 3rd Mile, Pallivasal. P.O,Chithirapuram Idukki - 685565 View on Map","The stay in Ambady Estate was awesome. Nice location, nice interior. You will forget all your tension. one of the best place to stay. The staff are good, they are taking good care of the guest. The food was tasty and on time. I will definitely book this cottage when I visit Munnar again."
Ekta Palace,Agra,India,,2.9/5,"Air Conditioning,Power backup,Restaurant/Coffee Shop,Laundry Service,","28 / 644 -, M. G. Road, Opposit Agra College, Agra. 282002. View on Map",not upto mark. worst experience I have ever. there should be much improvement.
Galaxy Hotel,Alwar,India,,4.1/5,"Doctor On Call,Free Internet,Air Conditioning,Travel Assistance,","Main RIICO Road, Opp Jain Irrigation, Alwar - 301030 View on Map","1. It was a good stay.
2. The hotel was completely full but still they tried to manage it very well.
3. The food we ordered was amazing (kadhai paneer).
4. You might find the location as off location but once you will reach there you will find it worth it.
5. Staff is also courteous
Given 4 out of 5 just because of location as the a new road is getting constructed"
Hotel Singh Palace,,,,,"Laundry Service,Room Service,","Plot No 40, Ram Nagar, Banasthali Marg, Jaipur 302001 View on Map",
Jypore Saffron Inn & Suites,,,,3.2/5,"Air Conditioning,Parking Facility,Banquet hall,Restaurant/Coffee Shop,","9, Green Avebue Nagar, Opp. Kamla Nehru Nagar, Ajmer Road, Jaipur - 302024 View on Map",Cool place to hang out nd to enjoy some drinks under the open sky with good service nd lovely food but on a costlier side a bit. Garden for children is beautiful with large projector for cricket matches but need to improve sound quality for the screen.. Food restaurant is huge nd food is very tasty
ADB Rooms hotel Diana palace,,,,4.2/5,"Free Internet,Air Conditioning,Parking Facility,Conference Room,","12,Hathroi,Ajmer Road, Near Shalimar Cplx. Jaipur - 302001 View on Map",Good house keeping service clean rooms. Good and quick room service. Well trained staff. Good food.
Hotel Keshari Atithi Bhawan,Varanasi,India,,3.4/5,"Laundry Service,CCTV surveillance,Power backup,Room Service,","D 36/184 augustkunda, dashashwamedh road, Varanasi - 221001 View on Map","The stay was good. Rooms were comfortable. Services were all good. Location wise it was good and easy to reach. In terms of security, it was safe. Overall 4/5 for the entire stay."
V K Residency,Tirupati,India,,3.6/5,"Power backup,Parking Facility,Laundry Service,CCTV surveillance,","Beside TMC,Near APSRTC Bus Terminal (Next to SrinivasamTTD Complex), Tirupatiumala Bye Pass Road,Tirupatiupati - 517501 View on Map","water leakage from Ac,untidy room and linen, no clean of the room after stay, no wifi, not even basic cold drinking water, broken interiors and high early check in or check out price
above all"
The Lodge 43,Chandigarh,India,,2.5/5,"Laundry Service,Free Internet,Power backup,Room Service,","ISBT Sector 43, 1st Floor, Chandigarh - 160043 View on Map",i feel like cabin fever in this small room..toilet is pathetic and room is very dirty not recommended
Hotel Royal Palazzo,,,,4/517,"Doctor On Call,Free Internet,Air Conditioning,Swimming Pool,","Subhash Nagar, Shopping Center, Jhotwada Road, Jaipur 302016 View on Map","good hotel, neat and clean, good food, co operative staff
no disturbance, light traffic area and good location"
Nature castle,Marayoor,India,,4.3/5,"Free Internet,Parking Facility,Outdoor Activities,Kitchen,","Nature Castle, Chilandhiyar, Koviloor P.O, vattavada,Munnar, 685615 View on Map","Nice resort..... nice climate.......
Service is so good.then good place to stay."
The Elegance,Kolkata,India,,4/514,"Air Conditioning,Restaurant/Coffee Shop,Laundry Service,CCTV surveillance,","197, Block 'J',New Alipore,Opposite Triangular Park,Beside Gupta Brothers, Kolkata - 700053 View on Map","I am routine vistor at this place, nice location and have good options of North Indian foods near by."
Abu Safari,Jaisalmer,India,,3.5/5,"Air Conditioning,Restaurant/Coffee Shop,Laundry Service,CCTV surveillance,","Near Fort, Dhiba Pada, Jaisalmer - 345001 View on Map",Good hotels clean room and room size is big and staff is very polite
The Grand Valley Mussoorie,Mussoorie,India,,3/527,"Doctor On Call,Indoor Entertainment,Travel Assistance,Laundry Service,","Kulri, THE MALL Road,Picture Palace, Mussoorie - 248189 View on Map","Worst experience of my lifetime. Door lock was broken, bedsheet was so dirty, tv was not working,pillow cover was not in the condition to use, staff was not helpful and do misbehave with us, they didnot provide us water even i asked to provide me 1 plate and spoon they said first order somethink then will provide you. Please never go there."
Young Beauty Star Group of Houseboat,Srinagar,India,,4.4/5,"Power backup,Parking Facility,Dining,Room Service,","Ghat No.,boulvard road, golden lake, Dal lake Srinagar Kashmir - 190001 View on Map",Nice House Boat and Very Nice Person Imtiyaz Bhai owner of the houseboat !!
Ace Residency BNB,Delhi,India,,4.2/5,"Doctor On Call,Air Conditioning,Parking Facility,Indoor Entertainment,","C-233, Greater Kailash, Delhi - 110048 View on Map","first thing it is very safe, nice rooms, polite people, posh locality, i liked it, above all Mr. Amol is very good"
Destiny House,Delhi,India,,4.5/5,"Power backup,Laundry Service,CCTV surveillance,Free Internet,","E-89, kalkaji, Delhi - 110019 View on Map",the hotel staff was rude & dint lemme check in even after receiving the full payment while booking.... worst hotel
ADB Rooms Hotel You And Me,Delhi,India,,2.1/5,"Power backup,Laundry Service,CCTV surveillance,Travel Assistance,","4459-61, Raiji street, MAIN Bazar, Delhi - 110055 View on Map",worst experience ever felt. hotel manager was very rude. I book for two day however he demanded 200 rupees for second day. he was saying you have to check in again for second day @11 o clock. horrible experience don't ever go
Hotel Naman,Solapur,India,,4.1/5,"Power backup,Restaurant/Coffee Shop,Laundry Service,Dining,","44 Railway Lines, Near Naval Petrol Pump., Solapur - 413001 View on Map","Pros - Good location, good food, friendly staff.
Cons - Smaller rooms
Good place to stay but overpriced, the max one should pay for this hotel is upto Rs 2000 including tax. Anything above that isn't really worth the value."
ASHA HOME STAY,,,,4.5/5,"Parking Facility,CCTV surveillance,Dining,Outdoor Activities,","MOHARI PO SHOGHI NEAR ADITYA HOME STAY,shogi,shmla 171219, Shimla View on Map",we stayed in three bedroom villa and it's the best room catg. in this homestay. cheap and best. Good to stay for family and friends. 5 stars from my side.
Johnsons Hotel,Manali,India,,3.4/5,"Free Internet,Outdoor Activities,Travel Assistance,Laundry Service,","Circuit House Road, Siyal, Manali, 175131 View on Map",Service so requires improvement
Hotel Tirupati Classic,Manali,India,,2.3/5,"Power backup,Parking Facility,Restaurant/Coffee Shop,Laundry Service,","Model Town, Near Tibitian Monastery, Manali - 175131 View on Map",nice hotel. it is at mall matket manali. all fameous place and activities are near except river rafting. staff is co-operative. car parking space is only for 4 cars.
Hotel Solang Heights,Manali,India,,1.9/5,"Doctor On Call,Laundry Service,Outdoor Activities,Daily housekeeping,","v.p.o Palchan , solang valley road , teh. Manali Disttic kullu (H.P) 175103 - 175131 View on Map","One of the worst hotel that I had ever seen. I will recommend everyone who is reading this review please never book room in this hotel. They will spoil your trip. The service of the hotel is so much pathetic that you will leave the hotel in mid of the night if you will get a option to change the hotel. I stayed for three days in Trashul hotel in Manali for three days and I enjoyed staying there the food is very tasty and the service they provided is comparable to a 4* hotel, and it was cheaper than this wrost Solang height hotel."
Hotel Rangniwas Palace,"Udaipur, Rajasthan",India,,4/522,"Air Conditioning,Parking Facility,Clean linen,Laundry Service,","Rangniwas palace hotel, lake palace road, Udaipur - 313001 View on Map",Great Stay and Great Location. Hotel is located in center of the city and everything is nearby. City Palace is at walking distance. You can roam around and walk to the amazing narrow streets of Udaipur which are full of local shops. We took Mini Suite which was nice and spacious. Overall a nice experience.
Hotel Sita Mahal,"Udaipur, Rajasthan",India,,2.6/5,"Air Conditioning,Restaurant/Coffee Shop,Laundry Service,CCTV surveillance,","135 saheli marg near IDBI bank opp. NCC office, Udaipur - 313001 View on Map",budget hotel..
Hotel Affas,Wayanad,India,,3.7/5,"Doctor On Call,Air Conditioning,Restaurant/Coffee Shop,Laundry Service,","Main Road Wayanad, Wayanad-673121 View on Map",The hotel is okay and staff services were nice. The location of the property is prominent.
Hotel Sahil,Sri Ganganagar,India,,2.3/5,"Power backup,Parking Facility,Laundry Service,Smoking Rooms Available,","21, BLOCK, Sri Ganganagar, Sri Sri Ganganagar, 335001 View on Map","The hotel seems good, rooms are okay but there's one thing that is not there and that is cleanliness. These people are spending not even a single penny on maintenance. The AC didn't work the whole night. Most terrible thing was when I say a fluid that looked like***** in the room. Something is just not right about this hotel. There were leaflets of massage service in the room. You can imagine what that can really be. You should never go there if you are a couple or family."
Him Star View Homestay,Shimla,India,,3.7/5,"Doctor On Call,Parking Facility,Daily housekeeping,Room Service,","Jawahar colony, Bhatta Kufar, dhalli Shimla pin code 171006 View on Map","wifi wasn't working.
amenities could be better."
Hotel Laxman Resort,Agra,India,,3.7/5,"Air Conditioning,Clean Room,Parking Facility,Clean linen,","30/6/17A/1B ,Keventers The Original Milkshake Opp. Saga Emporium, Fatehabad Road Agra - 282001 View on Map","Hotel was good and clean from outside... but service was not over there.
Room was not as good as were shown while booking.
bedsheets was not fresh and was having a big hole...
washroom was pathetic no proper water supply and proper drainage system. washroom floor was filled with water.
no water was given at time of check-in. No soap, no towel was given during the entire stay.
switch board was not working, TV was also not working, dustbin was filled with gutka, pan waste."
Hotel Janak Niwas - Udaipur,"Udaipur, Rajasthan",India,,3.9/5,"Parking Facility,Business Services,Restaurant/Coffee Shop,Laundry Service,","15 Sahiwalo ki gali, Bhattiyani Chotta, Udaipur, 313001 View on Map","Staff is good. Rooms are good only thing lacking is cleanliness
Comfortable stay and the room is worth for its price"
Floral Park,Bengaluru,India,,3.1/5,"Power backup,Parking Facility,Laundry Service,CCTV surveillance,","#61, wilson garden, 13th cross, laksandra bus stop, near NIMHANS Hospital, hosur main road, Bengaluru - 560027 View on Map","very good room just nearby to the NIMHANS hospital & BIDS
very good room for family people"
Hotel Kamal Regency,Bhopal,India,,3.3/5,"Free Internet,Travel Assistance,Laundry Service,Daily housekeeping,","Main Railway Station Road, Bhopal - 462010 MP, India View on Map","very poor quality room. 3rd class bathroom, no hot water for bath. worst experience."
Samudra Service Apartment,Nashik,India,,3.5/5,"Health-Spa,Daily housekeeping,Room Service,Free Internet,","Wavre Empier, Wavre Nagar,khutwad Nagar DGP 2 - ITI Link Road, Kamatwade, Nashik - 422010 View on Map",No conventional service poor and value for money
Heritage Tezpur,Tezpur,India,,3.9/5,"Doctor On Call,Air Conditioning,Banquet hall,Restaurant/Coffee Shop,","Majgaon, Tezpur - 784001 View on Map",The stay was good. The property is comfortable for business class people if it could cost below 2000/- if it is higher than that it is not recommended. The room was good but not that cozy. The location of the property far from the main town it is convenient to reach out there. They have polite staff but the service was a bit slow. Cleanliness was not well maintained.
Hotel Vikrant,,,,2.8/5,"Power backup,Parking Facility,Restaurant/Coffee Shop,Laundry Service,","Behind H.P. Tourism Office, Dhalpur, 175101 Kullu View on Map","Third class hotel , we will not recommend to others, dirty rooms and very small in size , worst experience"
Ajay hotel,Ujjain,India,,3.7/5,"Doctor On Call,Power backup,Parking Facility,Laundry Service,","12, dewas gate near railway station Ujjain - 456001 View on Map","nice hotel, near to station , mahakaleshwar temple and bus stop, cooperative staff and clean big room and washroom"
Hotel Kingstone,,,,3.5/5,"Power backup,Parking Facility,Daily housekeeping,Kitchen,",Middle Pelling - 737113 View on Map,pareshani se door rakhta hai goibibo
Suman Residency,Mangalore,India,,3.9/5,"Free Internet,Air Conditioning,Airport Transfer (on Demand),Conference Room,","HOTEL SUMAN RESIDENCY Near Bendorewell Junction, Kankanady - Balmatta Road, Mangalore - 575002 View on Map",Clean big room. well mannered staff. good location
Hotel RK Grande,Ludhiana,India,,3.7/5,"Air Conditioning,Daily housekeeping,Room Service,","# 74, Kamla Nehru Market, Near Railway Station, Ludhiana - 141008 View on Map",good and excellent service.. awesome location pleasant stay
The Pear Tree,Shillong,India,,4.2/5,"Doctor On Call,Power backup,Parking Facility,Laundry Service,","Lower Lachumiere near Village Khadi Board, Shillong - 793001 View on Map","The hotel is located around 2 kms from police bazaar. Shared/ Hired taxis are available from the hotel to market.
The rooms in the hotel are very clean and hygienic and offer all basic amenities. The hotel does not have a dining hall so they serve the complimentary bfast in the rooms itself. One can order lunch and dinner in their rooms for which they have tie ups with the nearby restaurants.
The service and hospitality of the hotel is excellent. Overall the experience is very pleasant and comfortable."
MOKSH HOLIDAY HOMES,Goa,India,,3.3/5,"Air Conditioning,Laundry Service,CCTV surveillance,Power backup,","Aldeia Miraflor, Opp Mello Rosa Resort Mainath Bhati - Baga Arpora Road Arpora, Goa - 403518 View on Map",it was gud experience. nice play to stay with friends and family. everything is available nearby only
Falcons Nest,Hyderabad,India,,3.4/5,"Power backup,Restaurant/Coffee Shop,Laundry Service,Smoking Rooms Available,","Plot no 49 and 50, Sri Venkateswara hills colony, Road no, Banjara Hills, Hyderabad - 500034 View on Map","The initial room offered was not well swept and i had a small injury in my right foot. The air conditioner too was not that effective.
I made a strong request for change of room and a fairly nice room was alloted.
The staff was co-operative and sprung into action to accomodate my requirements.
Breakfast was very average and the cook was unfortunately on leave."
Artist Haveli & Safari,Jaisalmer,India,,4.1/5,"Air Conditioning,Parking Facility,Laundry Service,CCTV surveillance,","Bera Rd, Opposite Nagar Palika, Postal Colony, Jaisalmer, 345001 View on Map","The stay was good, location was also easy to locate.Staffs & services were also good and it was neat & clean as well.Overall had a very good experience with my family in this hotel."
Park Regis Jaipur,,,,4.3/5,"Doctor On Call,Conference Room,Outdoor Activities,Banquet hall,","plot no, Golimar garden, Amer road, Near Jal Mahal, Jaipur - 302002 View on Map","It's an old property with decent service. But the hotel needs some updation. Also the bell desk needs to be more prompt towards the customer. The food is strictly ok. swimming pool area is the best place to lean on. parking is ok, housekeeping staffs are quite quick and make sure to provide you the amenities you have asked for. overall if you are looking for stay near jal Mahal,alwar fort then you can go with this hotel. if you are looking for luxurious stay then opt for any other 5 star properties or 4 star if you are not concerned about your budget. I will give park Regis 5/10.
Location"
Hotel J J Residency,Mumbai,India,,3.3/5,"Air Conditioning,Laundry Service,CCTV surveillance,Power backup,","Omkar co.op hsg soc, grnd floor, room no S, Opposite J.J Hospital, Gate No:6, Umerkhadi Road, Mumbai - 400009 View on Map","Worst place ever to stay. Very uncomfortable room.
Staff don't even change bed sheets which have been used previously.
Lots of bed bugs.
Serious advice stay please
Stay away from this place."
Gesler Villa unit of Elly Hotels and Resorts,Goa,India,,3.5/5,"Power backup,Restaurant/Coffee Shop,CCTV surveillance,Room Service,","Calangute-Baga Road, Opposite La Calypso, Calangute, Baga, Goa - 403516 View on Map","it was a very bad experience. the room was very very dirty. the washroom had used soap packets, shampoo packets. the bedsheets had staints, I don't know if it was blood staints. TV was not there but the remote and set top box was given which was on. air conditioner remote control was not working. and look at the door. such a bad door which has to be pushed extra to lock. washroom bucket had used soap water. and then hospitality was very bad. the lady manager was very rude to us. we asked the boy ...more"
Hotel Emerald,Kolkata,India,,2.9/5,"Doctor On Call,Air Conditioning,Room Service,Laundry Service,","33,Marquis Street, Kolkata 700016 View on Map",Good hotel in budget category with all amenities. clean. good staff. 
Hotel Deep Mahal,Jaisalmer,India,,3.8/5,"Air Conditioning,Parking Facility,Power backup,Dining,","246, Vyasa Para, Inside Fort, Jaisalmer Fort - 345001 View on Map","Nice location. Just 100 Mts from Palace in Fort. It's better you book an auto to reach. No Hot water was available and no additional amenities like water bottle, toiletries or towels. overall a decent stay with friends. Rooftop restaurant is sharing walls with famous Jain Temple, that's why it is overpriced."
Hotel Shubham,Manali,India,,4.9/5,"Power backup,Parking Facility,Room Service,Restaurant/Coffee Shop,","Hotel Shubham, Katrain, Kullu, Manali - 175131 View on Map","Good Hotel with nice ambiance. Located on the Manali - Kullu highway, (about 20km from Manali), provides easy access to Manali as well as various river rafting facilities. Hotel is also located close to several ""Kullu Factory Outlets"" selling Shawls, Sweaters, Overcoats etc."
Hotel The Tourist Inn(Govt. Hotel),Mandi,India,,3.8/5,"Parking Facility,Restaurant/Coffee Shop,Laundry Service,Room Service,","Rewalsar pin code-175001, Mandi View on Map","This hotel, located in a beautiful serene spot, is a very good place to stay in Rewalsar!"
Hotel Karni Bhawan,Jodhpur,India,,4.3/5,"Free Internet,Swimming Pool,Outdoor Activities,Banquet hall,","Defence Lab. Road, Ratanada, Jodhpur - 342006 View on Map","We were there for couple of days to celebrate our 1st weeding Anniversary and after this we had booked Umaid bhawan palace for next few days.. The karni Bhawan Palace has its own charm. its maintained properly and the staff is so helpful. The owner of the palace met us separately and we offered us Suite to have the luxurious experiance. we indeed had a lot of fun and the place was so refreshing that we did not gave a thought to have dinner also outside. The food, service, hotel staff, breakfast  ...more"
Green Peace Holiday Home Wayanad,Wayanad,India,,4.3/5,"Power backup,Laundry Service,CCTV surveillance,Indoor Entertainment,","Green Peace Holiday Home,PWD Road Wayanad, - 673121 View on Map","Such a great place to stay, relax and chillout doing nothing. They have big rooms, awesome view, the balcony to sit and chit chat.
Great service."
Chopra residency,Hamirpur,India,,3.9/5,"Free Internet,Air Conditioning,Parking Facility,Conference Room,","Near Government Degree College,Hamirpur - 177001 View on Map",best location nearby NIT hamirpur best hygienic food near and clean rooms cooperative staff members .
Taj Mahal Hotel,Hyderabad,India,,4.3/5,"Free Internet,Air Conditioning,Parking Facility,Outdoor Activities,","#4-1-999, Abid Road,500001,Hyderabad,india View on Map","good location. Rooms are of many types. the room given to us was older one and need renovation. but rooms at other side were good. since it was just an overnight stay, I didn't demand to change the room. But old room ac make noice and it is road facing. so full disturbances. Breakfast was good. Overall a good hotel to stay if u get good rooms."
Sea Face Hotel,Srinagar,India,,,"Doctor On Call,Airport Transfer (on Demand),Indoor Entertainment,Power backup,","Gate No. 15 Dal Lake, Nehru Park, Srinagar, India - 190001 View on Map",
Houseboat Kingsvan,Srinagar,India,,,"Doctor On Call,Power backup,Parking Facility,Dining,","Dal Lake,Srinagar - 190001 View on Map",
Houseboat Pride Of India,Srinagar,India,,,"Parking Facility,Daily housekeeping,Room Service,","Gate No.1, Dal Lake,Srinagar - 190001 View on Map",
Hotel Tulsi Inn,Jodhpur,India,,3.9/5,"Doctor On Call,Air Conditioning,Laundry Service,Smoking Rooms Available,","479-A, 1st A Rd, 5th A Rd, Behind Old Kohinoor Cinema, Sardarpura,Sardarpura Khurd, Sardarpura, Jodhpur - 342003 View on Map","bathroom size is too small
"
Hotel Renuka,Jaisalmer,India,,3.7/5,"Parking Facility,Restaurant/Coffee Shop,Laundry Service,CCTV surveillance,","North of Gandhi Chowk, Chainpura Street, Jaisalmer - 345001 View on Map","I have not word to my stay in this hotel , poor room service , badest stay in my life.
if we are going to stay any where , first thing we need drinking water , but hare no service ( Self service) ,hot and cold water also not available in time in bathrooms.
yes"
Hotel Metropole,Ahmedabad,India,,3.8/5,"Power backup,Parking Facility,Laundry Service,CCTV surveillance,","Opp. Electricity House, Relief Rd, Lal Darwaja, Ahmedabad - 380001 View on Map","average cleaning, specious rooms but old hotel.
main road touch.approx 2 km from Ahmadabad railway station."
Hotel Preethi Palace,Ooty,India,,3.3/5,"Power backup,Parking Facility,Restaurant/Coffee Shop,Laundry Service,","Ettines Road, Charing Cross, Ooty - 643001 View on Map",Very bad room service and overall experience. Room was very expensive. Nothing was properly working. Bad experience.
Hotel Om Palace,Mandvi Kutch,India,,3.9/5,"Power backup,Restaurant/Coffee Shop,Laundry Service,Smoking Rooms Available,","Ground and one and two , 6580/25/4 , hotel om palace , opp.maska octroi , Mandvi , kachchh , gujarat - 370465 View on Map","good location very clean and clear room
staf behaviour"
Yatri Niwas,Namchi,India,,3.3/5,"Doctor On Call,Power backup,Banquet hall,Restaurant/Coffee Shop,","chardham, YATRI NIWAS, Namchi, south 737126 View on Map","The lunch was very good but during dinner, Ala carte was there which was not the level of lunch. Not happy with the dinner served. The staff was courteous."
Hotel Bhoomsang,Darjeeling,India,,3.3/5,"Doctor On Call,Indoor Entertainment,Parking Facility,Banquet hall,","74,Gandhi Road,Darjeeling - 734101 View on Map","nice cozy place in low budget, Darjeeling mall is just 2min away."
